id,umisid,paymentid,feetype,offering
1280,NULL,77447,Foundation Fee,NULL
1281,NULL,77462,Foundation Fee,NULL
1282,NULL,77465,Foundation Fee,NULL
1283,NULL,77467,Foundation Fee,NULL
1284,NULL,77519,Foundation Fee,NULL
1285,NULL,77554,Foundation Fee,NULL
1286,NULL,77565,Foundation Fee,NULL
1287,NULL,77673,Foundation Fee,NULL
1288,NULL,77812,Foundation Fee,NULL
1289,NULL,77865,Foundation Fee,NULL
1290,NULL,77970,Foundation Fee,NULL
1291,NULL,77983,Foundation Fee,NULL
1292,NULL,78019,Foundation Fee,NULL
1293,NULL,78182,Foundation Fee,NULL
1294,NULL,78193,Foundation Fee,NULL
1295,NULL,78224,Foundation Fee,NULL
1296,NULL,78269,Foundation Fee,NULL
1297,NULL,78290,Foundation Fee,NULL
1298,NULL,78303,Foundation Fee,NULL
1299,NULL,78326,Foundation Fee,NULL
1300,NULL,78329,Foundation Fee,NULL
1301,NULL,78341,Foundation Fee,NULL
1302,NULL,78359,Foundation Fee,NULL
1303,NULL,78364,Foundation Fee,NULL
1304,NULL,78368,Foundation Fee,NULL
1305,NULL,78416,Foundation Fee,NULL
1306,NULL,78421,Foundation Fee,NULL
1307,NULL,78456,Foundation Fee,NULL
1308,NULL,78529,Foundation Fee,NULL
1309,NULL,78561,Foundation Fee,NULL
1310,NULL,78562,Foundation Fee,NULL
1311,NULL,78656,Foundation Fee,NULL
1312,NULL,78705,Foundation Fee,NULL
1313,NULL,78715,Foundation Fee,NULL
1314,NULL,78744,Foundation Fee,NULL
1315,NULL,78769,Foundation Fee,NULL
1316,NULL,78848,Foundation Fee,NULL
1317,NULL,79034,Foundation Fee,NULL
1318,NULL,79071,Foundation Fee,NULL
1319,NULL,79112,Foundation Fee,NULL
1320,NULL,79113,Foundation Fee,NULL
1321,NULL,79176,Foundation Fee,NULL
1322,NULL,79185,Foundation Fee,NULL
1323,NULL,79237,Foundation Fee,NULL
1324,NULL,79245,Foundation Fee,NULL
1325,NULL,79248,Foundation Fee,NULL
1326,NULL,79251,Foundation Fee,NULL
1327,NULL,79400,Foundation Fee,NULL
1328,NULL,79403,Foundation Fee,NULL
1329,NULL,79565,Foundation Fee,NULL
1330,NULL,79599,Foundation Fee,NULL
1331,NULL,79613,Foundation Fee,NULL
1332,NULL,79631,Foundation Fee,NULL
1333,NULL,79636,Foundation Fee,NULL
1334,NULL,79640,Foundation Fee,NULL
1335,NULL,79661,Foundation Fee,NULL
1336,NULL,79680,Foundation Fee,NULL
1337,NULL,79684,Foundation Fee,NULL
